id,name,latitude,longitude,active,explosive,startyear,startmonth
191,Pavlof,55.417,-161.894,FALSE,3,2013,5
192,Pacaya,14.382,-90.601,FALSE,2,2013,3
193,Klyuchevskoy,56.056,160.642,FALSE,1,2013,8
194,Zhupanovsky,53.589,159.15,FALSE,3,2013,10
195,San Miguel,13.434,-88.269,FALSE,2,2013,12
196,Chirinkotan,48.98,153.48,FALSE,1,2013,6
197,Etorofu-Yakeyama [Grozny Group],45.012,147.871,FALSE,2,2013,2
198,San Cristobal,12.702,-87.004,FALSE,1,2013,6
199,Kikai,30.793,130.305,FALSE,1,2013,6
200,Kerinci,-1.697,101.264,FALSE,2,2013,6
201,Mayon,13.257,123.685,FALSE,2,2013,5
202,Villarrica,-39.42,-71.93,FALSE,1,2013,7
203,Iliwerung,-8.53,123.57,FALSE,0,2013,8
204,Semeru,-8.108,112.922,FALSE,1,2013,6
205,Merapi,-7.54,110.446,FALSE,2,2013,11
206,Turrialba,10.025,-83.767,FALSE,2,2013,5
207,Tangkubanparahu,-6.77,107.6,FALSE,1,2013,10
208,Tangkubanparahu,-6.77,107.6,FALSE,2,2013,2
209,Sangay,-2.005,-78.341,FALSE,2,2013,1
210,Nishinoshima,27.247,140.874,FALSE,2,2013,11
211,Mariana Back-Arc Segment at 15.5°N,15.406,144.506,FALSE,0,2013,2
212,Etna,37.748,14.999,TRUE,2,2013,9
213,Zubair Group,15.05,42.18,FALSE,2,2013,9
214,White Island,-37.52,177.18,FALSE,2,2012,8
215,Ulawun,-5.05,151.33,FALSE,1,2012,5
216,Monowai,-25.887,-177.188,FALSE,0,2012,8
217,Etorofu-Yakeyama [Grozny Group],45.012,147.871,FALSE,2,2012,8
218,Chirpoi,46.532,150.871,FALSE,0,2012,11
219,Saunders,-57.8,-26.483,FALSE,0,2012,6
220,Alaid,50.861,155.565,FALSE,2,2012,10
221,Tolbachik,55.832,160.326,FALSE,4,2012,11
222,Klyuchevskoy,56.056,160.642,FALSE,1,2012,9
223,Kanaga,51.923,-177.168,FALSE,2,2012,2
224,Galeras,1.22,-77.37,FALSE,2,2012,5
225,Ulawun,-5.05,151.33,FALSE,1,2012,11
226,"Ruiz, Nevado del",4.892,-75.324,FALSE,3,2012,2
227,Ioto,24.751,141.289,FALSE,1,2012,2
228,Turrialba,10.025,-83.767,FALSE,2,2012,1
229,Havre Seamount,-31.08,-179.033,FALSE,1,2012,7
230,Witori,-5.576,150.516,FALSE,2,2012,5
231,San Cristobal,12.702,-87.004,FALSE,2,2012,9
232,San Cristobal,12.702,-87.004,FALSE,2,2012,12
233,Langila,-5.525,148.42,FALSE,1,2012,12
234,Copahue,-37.856,-71.183,FALSE,2,2012,12
235,Karkar,-4.649,145.964,FALSE,3,2012,2
236,Masaya,11.984,-86.161,FALSE,1,2012,4
237,Rincon de la Vieja,10.83,-85.324,FALSE,1,2012,2
238,Pagan,18.13,145.8,FALSE,2,2012,10
239,Rincon de la Vieja,10.83,-85.324,FALSE,1,2012,10
240,Tongariro,-39.157,175.632,FALSE,2,2012,11
241,Paluweh,-8.32,121.708,FALSE,2,2012,10
242,Lokon-Empung,1.358,124.792,FALSE,2,2012,9
243,Gamalama,0.8,127.33,FALSE,1,2012,9
244,Sirung,-8.508,124.13,FALSE,2,2012,5
245,Lewotolo,-8.272,123.505,FALSE,1,2012,1
246,Soputan,1.112,124.737,FALSE,3,2012,8
247,Heard,-53.106,73.513,TRUE,0,2012,9
248,Tongariro,-39.157,175.632,FALSE,2,2012,8
249,Marapi,-0.38,100.474,FALSE,1,2012,9
250,Marapi,-0.38,100.474,FALSE,1,2012,3
251,Karangetang,2.781,125.407,FALSE,2,2012,5
252,Telica,12.606,-86.84,FALSE,2,2011,3
253,Krakatau,-6.102,105.423,FALSE,2,2011,7
254,Soputan,1.112,124.737,FALSE,3,2011,7
255,Lokon-Empung,1.358,124.792,FALSE,1,2011,2
256,San Cristobal,12.702,-87.004,FALSE,1,2011,8
257,Lokon-Empung,1.358,124.792,FALSE,2,2011,6
258,Zubair Group,15.05,42.18,FALSE,2,2011,12
259,Semeru,-8.108,112.922,FALSE,2,2011,5
260,Grimsvotn,64.416,-17.316,FALSE,4,2011,5
261,Karangetang,2.781,125.407,FALSE,2,2011,3
